"tv","Name","CAS","SMILES","MW","log10prediction","log10lower95","log10upper95","prediction","lower95","upper95","appl.domain","Source","Warnings"
"IUR","p-Bromofluorobenzene","460-00-4","FC1=CC=C(Br)C=C1",173.948041,4.09515666666667,1.71054250833334,5.95927236666667,0.0715710064754946,0.000295204495103408,5.23423026866802,8.65073277339434,"CTV",""
"RfD","tert-Butyl Formate","762-75-4","CC(C)(C)OC=O",102.068079562,6.12807574750856,4.51768748801461,7.63295314459628,0.0760001056441371,0.00237649441986575,3.09886356269659,0.420118719794937,"CTV",""
"RfDNOAEL","tert-Butyl Formate","762-75-4","CC(C)(C)OC=O",102.068079562,3.30653469211794,1.70274800412494,4.74928029702218,50.3912639017753,1.81806600583403,2023.68046492994,0.110532228410114,"CTV",""
"RfDBMDL","tert-Butyl Formate","762-75-4","CC(C)(C)OC=O",102.068079562,3.31937369803075,1.53860584685936,5.0366351264508,48.9233565323961,0.938112271501113,2953.14041138151,0.491428141913949,"CTV",""
"RfDBMD","tert-Butyl Formate","762-75-4","CC(C)(C)OC=O",102.068079562,3.10892580100888,1.11064456455608,5.04683828987311,79.4262653715323,0.91632946896297,7911.25492284008,0.491428141913949,"CTV",""
"OSF","tert-Butyl Formate","762-75-4","CC(C)(C)OC=O",102.068079562,3.29197237108968,1.30313231997721,5.12569834307395,0.0191903293199724,0.000196898485881889,1.30860447042556,0.0283744767220008,"CTV",""
"CPV","tert-Butyl Formate","762-75-4","CC(C)(C)OC=O",102.068079562,4.24050699999999,2.26269849999999,6.29126626666666,0.170457869692131,0.00179394265584337,19.1591537757304,0.0644188936765167,"CTV",""
"RfC","tert-Butyl Formate","762-75-4","CC(C)(C)OC=O",102.068079562,5.86275299999999,3.46902531666666,7.88160785,0.14000287156608,0.00134054714938125,34.6628786549305,-0.0648977773986627,"CTV",""
"IUR","tert-Butyl Formate","762-75-4","CC(C)(C)OC=O",102.068079562,3.75791733333333,1.373303175,5.62203303333333,0.0561083361021092,0.000231426576846962,4.10339277890152,0.242948558602788,"CTV",""
"RfD","p,p'-DDD","72-54-8","Clc1ccc(C(C(Cl)Cl)c2ccc(Cl)cc2)cc1",317.9536611,9.78994037996082,8.17955212046687,11.2948177770485,5.15731252901227e-05,1.61267202760091e-06,0.0021028665344793,10.1564409258123,"CTV",""
"RfDNOAEL","p,p'-DDD","72-54-8","Clc1ccc(C(C(Cl)Cl)c2ccc(Cl)cc2)cc1",317.9536611,6.01077598988651,4.40698930189351,7.45352159479075,0.310161465606569,0.0111903130280306,12.4558832289964,4.44711118587187,"CTV",""
"RfDBMDL","p,p'-DDD","72-54-8","Clc1ccc(C(C(Cl)Cl)c2ccc(Cl)cc2)cc1",317.9536611,5.71104368225592,3.93027583108453,7.42830511067597,0.618472149746541,0.0118592908251238,37.3325795322542,6.51254150276693,"CTV",""
"RfDBMD","p,p'-DDD","72-54-8","Clc1ccc(C(C(Cl)Cl)c2ccc(Cl)cc2)cc1",317.9536611,5.41431596018779,3.41603472373499,7.35222844905202,1.22475118936527,0.0141297793835978,121.99136936373,6.51254150276693,"CTV",""
"OSF","p,p'-DDD","72-54-8","Clc1ccc(C(C(Cl)Cl)c2ccc(Cl)cc2)cc1",317.9536611,4.88,NA,NA,0.24,NA,NA,NA,"IRIS",""
"CPV","p,p'-DDD","72-54-8","Clc1ccc(C(C(Cl)Cl)c2ccc(Cl)cc2)cc1",317.9536611,5.05,NA,NA,0.35,NA,NA,NA,"CalEPA",""
"RfC","p,p'-DDD","72-54-8","Clc1ccc(C(C(Cl)Cl)c2ccc(Cl)cc2)cc1",317.9536611,8.89089783333329,6.49717014999996,10.9097526833333,0.000408757746997446,3.913912810469e-06,0.101203068372407,6.86760139299001,"CTV",""
"IUR","p,p'-DDD","72-54-8","Clc1ccc(C(C(Cl)Cl)c2ccc(Cl)cc2)cc1",317.9536611,4.34,NA,NA,6.9e-05,NA,NA,NA,"CalEPA",""
"RfD","Dibenzothiophene","132-65-0","S1C2=C(C=CC=C2)C2=C1C=CC=C2",184.034671432,7.82787665593237,6.21748839643842,9.33275405302009,0.00273541355204388,8.55353421861843e-05,0.111535021083081,15.3570593864747,"CTV",""
"RfDNOAEL","Dibenzothiophene","132-65-0","S1C2=C(C=CC=C2)C2=C1C=CC=C2",184.034671432,4.50358640538358,2.89979971739058,5.94633201028782,5.77182619371279,0.208241670913953,231.792795234414,6.51168551183559,"CTV",""
"RfDBMDL","Dibenzothiophene","132-65-0","S1C2=C(C=CC=C2)C2=C1C=CC=C2",184.034671432,4.97275301323239,3.191985162061,6.69001444165244,1.95950617727093,0.0375738077121272,118.280863959501,7.4472392557348,"CTV",""
"RfDBMD","Dibenzothiophene","132-65-0","S1C2=C(C=CC=C2)C2=C1C=CC=C2",184.034671432,4.57314479433883,2.57486355788603,6.51105728320306,4.91761874778174,0.0567338644796998,489.819524373394,7.4472392557348,"CTV",""
"OSF","Dibenzothiophene","132-65-0","S1C2=C(C=CC=C2)C2=C1C=CC=C2",184.034671432,5.31344516666667,3.3246051155542,7.14717113865094,1.11826701915798,0.0114737521807248,76.2555553893797,13.2694300553175,"CTV",""
"CPV","Dibenzothiophene","132-65-0","S1C2=C(C=CC=C2)C2=C1C=CC=C2",184.034671432,5.96249899999999,3.98469049999999,8.01325826666666,4.98424463254049,0.0524554781168049,560.22000945557,10.3492381519862,"CTV",""
"RfC","Dibenzothiophene","132-65-0","S1C2=C(C=CC=C2)C2=C1C=CC=C2",184.034671432,8.86821749999997,6.47448981666664,10.88707235,0.000249276966003862,2.38686194393634e-06,0.0617177142683307,6.09768078270419,"CTV",""
"IUR","Dibenzothiophene","132-65-0","S1C2=C(C=CC=C2)C2=C1C=CC=C2",184.034671432,5.04413866666667,2.65952450833334,6.90825436666668,0.601504688045028,0.00248098911110692,43.9900764283508,11.1165735603385,"CTV",""
"RfD","cis-1,2-Dichloroethylene","156-59-2","Cl/C=C\Cl",95.9533555,7.681030171,NA,NA,0.002,NA,NA,NA,"IRIS",""
"RfDNOAEL","cis-1,2-Dichloroethylene","156-59-2","Cl/C=C\Cl",95.9533555,4.08767373927632,2.48388705128332,5.53041934418056,7.84127034535633,0.282905129850187,314.900329729039,-0.110317715394298,"CTV",""
"RfDBMDL","cis-1,2-Dichloroethylene","156-59-2","Cl/C=C\Cl",95.9533555,4.27448999,NA,NA,5.1,NA,NA,NA,"IRIS",""
"RfDBMD","cis-1,2-Dichloroethylene","156-59-2","Cl/C=C\Cl",95.9533555,3.70222811664236,1.70394688018956,5.64014060550659,19.047239823488,0.219745282886267,1897.20074480669,-0.364403830456835,"CTV",""
"OSF","cis-1,2-Dichloroethylene","156-59-2","Cl/C=C\Cl",95.9533555,4.09390634030543,2.10506628919296,5.9276323122897,0.129373752067704,0.00132741317099119,8.82210344015963,-0.327561159519035,"CTV",""
"CPV","cis-1,2-Dichloroethylene","156-59-2","Cl/C=C\Cl",95.9533555,3.89564350000001,1.91783500000001,5.94640276666668,0.0819564867916261,0.000862531239209482,9.21175969285195,-0.328552087560927,"CTV",""
"RfC","cis-1,2-Dichloroethylene","156-59-2","Cl/C=C\Cl",95.9533555,6.2,NA,NA,0.06,NA,NA,NA,"PPRTV",""
"IUR","cis-1,2-Dichloroethylene","156-59-2","Cl/C=C\Cl",95.9533555,3.18560216666666,0.800988008333335,5.04971786666666,0.0159787204951797,6.59064382138184e-05,1.1685779841463,-0.343861511557228,"CTV",""
"RfD","2,2-Difluoropropane","420-45-1","CC(C)(F)F",80.043756519,6.68182385555644,5.07143559606249,8.18670125264416,0.0166534265788376,0.000520746320032314,0.67903454056822,0.00228460295066443,"CTV",""
"RfDNOAEL","2,2-Difluoropropane","420-45-1","CC(C)(F)F",80.043756519,3.34806552681876,1.74427883882576,4.790811131723,35.9138476020479,1.29573541936278,1442.27681914077,-0.091616604305526,"CTV",""
